Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FreeCRM-BasicFunctionalityCheck,Chrome 68.0.3440.106,,2018-08-26 20:53:39,2018-08-26 20:54:15,36.104s,PASSED
,,,,,,
Test Cases/FreeCRM-Login,Chrome 68.0.3440.106,Login Scenario,2018-08-26 20:53:40,2018-08-26 20:54:15,35.235s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-26 20:53:41,2018-08-26 20:53:51,10.738s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-26 20:53:51,2018-08-26 20:53:59,7.609s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-26 20:53:59,2018-08-26 20:54:00,0.905s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-26 20:54:00,2018-08-26 20:54:01,0.695s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 20:54:01,2018-08-26 20:54:11,10.254s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 20:54:11,2018-08-26 20:54:11,0.524s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-26 20:54:11,2018-08-26 20:54:13,1.372s,PASSED
